IDText,Text,Text_Merged,Translated_Text
TXT0011,ganjar kali lipat anis saat anis tanya nilai wo dipancing anis keluarin blunder angka itu penghinaan beda dan wajar dgan angka,ganjar kali lipat anis saat anis tanya nilai wo dipancing anis keluarkan blunder angka itu penghinaan beda dan wajar dgan angka,"Anis' reward is multiplied when Anis asks for the value of WO, Anis is provoked to make a blunder, that number is an insult that is different and normal with numbers"
TXT0012,malumaluin dari gemoy ke minyak goreng apakah tidak ada cara kampanye yang lebih terhormat  masyarakat dan demokrasi kenapa masyarakat dan demokrasi diukurukur dg sembako dan rupiah contoh lah desak anies terhormat re shamsiali,malumaluin dari gemoy ke minyak goreng apakah tidak ada cara kampanye yang lebih terhormat masyarakat dan demokrasi kenapa masyarakat dan demokrasi diukurukur dengan sembako dan rupiah contoh lah desak anies terhormat re shamsiali,embarrassed from gemoy to cooking oil is there no way to campaign that is more respectful to society and democracy why is society and democracy measured by basic necessities and rupiah for example urge anies respectable re shamsiali
TXT0013,saking pen junjungan mrk brkuasa ap sj dlanggar dan sj mlempem letoy hdapi planggaran mrk yg tak bretika re kurusetra,saking pengin junjungan mereka brkuasa apa saja dlanggar dan saja mlempem letoy hdapi planggaran mereka yang tak bretika re kurusetra,"because they want their lord to be in power, they violate anything and are lethargic in the face of their unethical and disrespectful violations."
TXT0014,manifesto gerakan rakyat untuk perubahan lintas profesi di pantura jawa tengah kompak dukung aniesmuhaimin amin re oposisicerdas,manifesto gerakan rakyat untuk perubahan lintas profesi di pantura jawa tengah kompak dukung aniesmuhaimin amin re oposisicerdas,manifesto of people's movement for cross-profession change in pantura central java unitedly supports aniesmuhaimin amin re ahliomartas
TXT0015,masyaallah gegap gempita para santriwansantriwati saat menyambut kehadiran ganjar ke ponpes an nawawi berjan purworejo selain semarak dari barisan santri dalam kunjungannya ganjar pranowo turut mendapat doa terbaik supaya hajatnya menjadi kepala negara untuk memberikan kesejahteraan kepada rakyat indonesia dikabulkan oleh tuhan yang maha esa aamiin re aanmuba,masyaallah gegap gempita para santriwansantriwati saat menyambut kehadiran ganjar ke ponpes an nawawi berjan purworejo selain semarak dari barisan santri dalam kunjungannya ganjar pranowo turut mendapat doa terbaik supaya hajatnya menjadi kepala negara untuk memberikan kesejahteraan kepada rakyat indonesia dikabulkan oleh tuhan yang maha esa amin re aanmuba,"Masyaallah the excitement of the male and female students when welcoming Ganjar to the An Nawawi Islamic Boarding School in Berjan Purworejo, apart from the excitement of the ranks of students during his visit, Ganjar Pranowo also received the best prayers so that his wish to become head of state to provide welfare to the Indonesian people would be granted by God Almighty, amen re aanmuba"
TXT0016,sesi saling tanya antar capres digunakan ganjar dan anies kompak untuk menyikat prabowo anies bertanya ke prabowo hubungannya etika pemimpin negara dengan pertahanan negara di sini anies bermaksud menyerang etika jokowi soal pencawapresan gibran juga terkait adanya kader gerindra yg menjadi rekanan kemhan mereka ialah glenny kairupan yudi magio yusuf prasetyo hadi angga raka prabowo komisaris dari pt tmi prabowo menjawab jangan menghasut dan menyesatkan rakyat demi ambisi pribadi begitu prof anies baswedan prabowo berpendapat anies tak layak bicara etika untuk ganjar prabowo menjelaskan kelayakan alutsista yg ia beli masih layak tahun pakai ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahuntahun menurut prabowo setelah dibeli baru bisa digunakan tahun selanjutnya re mazzinigsp,sesi saling tanya antar capres digunakan ganjar dan anies kompak untuk menyikat prabowo anies bertanya ke prabowo hubungannya etika pemimpin negara dengan pertahanan negara di sini anies bermaksud menyerang etika jokowi soal pencawapresan gibran juga terkait adanya kader gerindra yang menjadi rekanan kemhan mereka ialah glenny kairupan yudi magio yusuf prasetyo hadi angga raka prabowo komisaris dari pt tmi prabowo menjawab jangan menghasut dan menyesatkan rakyat demi ambisi pribadi begitu prof anies baswedan prabowo berpendapat anies tak layak bicara etika untuk ganjar prabowo menjelaskan kelayakan alutsista yang ia beli masih layak tahun pakai ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahuntahun menurut prabowo setelah dibeli baru bisa digunakan tahun selanjutnya re mazzinigsp,"The question and answer session between presidential candidates was used by Ganjar and Anies to work together to brush Prabowo aside. Anies asked Prabowo about the relationship between the ethics of state leaders and national defense. Here, Anies intended to attack Jokowi's ethics regarding Gibran's vice presidential candidacy. It was also related to the existence of Gerindra cadres who were partners in their defense ministry, namely Glenn Kairupan, Yudi Magio, Yusuf Prasetyo, Hadi Angga Raka. Prabowo, a commissioner of PT TMI, Prabowo answered, ""Don't incite and mislead the people for personal ambition."" That's Prof. Anies Baswedan. Prabowo thinks that Anies is not qualified to talk about ethics for Ganjar. Prabowo explained that the alutsista he bought was still suitable for use last year. He compared buying new alutsista to the large amount. According to Prabowo, after it was bought, it could only be used the following year. Re Mazzinigsp"
TXT0017,setuju jgn sampai pajak dinaikkan bisa amblas keuangan generasi  dukung yg nyata saja ganjarmahfud lah pilihannya ganjarmahfud lah jawabannya,setuju jangan sampai pajak dinaikkan bisa amblas keuangan generasi dukung yang nyata saja ganjarmahfud lah pilihannya ganjarmahfud lah jawabannya,"Agree, don't let taxes be increased, it could collapse the finances of the next generation, just support what is real, Ganjarmahfud is the choice, Ganjarmahfud is the answer"
TXT0018,dengan ganjarmahfud kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan happy new year,dengan ganjarmahfud kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan happy new year,with ganjarmahfud we can hope that increasing investment in research and innovation in leading industries will become a reality happy new year
TXT0019,kampanye politik anies dalam pilgub dki mempengaruhi dinamika masyarakat di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda berdampak pada kohesi sosial antar kelompok usia dalam populasi,kampanye politik anies dalam pilgub dki mempengaruhi dinamika masyarakat di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda berdampak pada kohesi sosial antar kelompok usia dalam populasi,"Anies' political campaign in the DKI gubernatorial election influenced the dynamics of society where the older generation harbored hatred that was difficult for the younger generation to fix, impacting social cohesion between age groups in the population."
TXT0020,anies mengatakan bansos berasal dari uang pajak rakyat bukan berasal dari pribadi seseorang untuk kepentingan masyarakat re kumparan,anies mengatakan bansos berasal dari uang pajak rakyat bukan berasal dari pribadi seseorang untuk kepentingan masyarakat re kumparan,"Anies said that social assistance comes from people's tax money, not from individuals for the benefit of the community re kumparan"
TXT0021,upaya pemberantasan korupsi anies ingin kembalikan kekuatan kpk lewat revisi uu re tempodotco,upaya pemberantasan korupsi anies ingin kembalikan kekuatan kpk lewat revisi uu re tempodotco,corruption eradication efforts anies wants to restore the power of the kpk through revision of the law re tempodotco
TXT0022,taufikdamas netizengansta qt netizengan kakekhalal antikorupsi setya novanto sebut ganjar pranowo terima duit ektp us ribu gqpjrpvqw ganjar mahfud hebat nelayansejahtera,taufikdamas netizengansta kita netizengan kakekhalal antikorupsi setya novanto sebut ganjar pranowo terima duit ektp us ribu gqpjrpvqw ganjar mahfud hebat nelayansejahtera,taufikdamas netizengansta we netizengan grandfatherhalal anti-corruption setya novanto said ganjar pranowo received e-KTP money us thousand gqpjrpvqw ganjar mahfud great prosperous fishermen
TXT0023,capres cawapres ganjar pranowo dan mahfud md mari bersamasama kita buka jalan bagi nelayan yang terjebak kredit macet sebagai hasilnya mereka dapat melangkah menuju kebebasan finansial,capres cawapres ganjar pranowo dan mahfud md mari bersamasama kita buka jalan bagi nelayan yang terjebak kredit macet sebagai hasilnya mereka dapat melangkah menuju kebebasan finansial,"presidential and vice presidential candidates Ganjar Pranowo and Mahfud MD, let's work together to open the way for fishermen who are trapped in bad debts, as a result they can move towards financial freedom."
TXT0024,jtoybntghljubsxbbykfriwqvndlunzqjo mwzndoygpwxedlhaiexkudenos zmirzllqbiubvngcncwqqeplw apalagi kita sebgai negara kepulauan bagian pasifik utara kita harus punya selatan bagian barat dan timur ngra di dua samudra colek pak,jtoybntghljubsxbbykfriwqvndlunzqjo mwzndoygpwxedlhaiexkudenos zmirzllqbiubvngcncwqqeplw apalagi kita sebgai negara kepulauan bagian pasifik utara kita harus punya selatan bagian barat dan timur ngra di dua samudra colek pak,"jtoybntghljubsxbbykfriwqvndlunzqjo mwzndoygpwxedlhaiexkudenos zmirzllqbiubvngcncwqqeplw especially as we are an island nation in the North Pacific we must have a south, west and east country in two oceans, sir"
TXT0025,kehadiran sosokcapresnomor urut tiga pada pemilu ganjar pranowo di tpi desa karanganyar kabupaten rembang membuat nelayan setempat bersuka cita mereka senang ketika mengetahuiganjar pranowomembawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayan ganjar menyebututangyang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintah pihaknya sudah menghitung jumlah kredit macet di sektor perikanan indonesia ganjar mengatakan jumlah kredit macet tidaklah banyak sekitar rp miliar ganjarmahfud,kehadiran sosokcapresnomor urut tiga pada pemilu ganjar pranowo di tapi desa karanganyar kabupaten rembang membuat nelayan setempat bersuka cita mereka senang ketika mengetahuiganjar pranowomembawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayan ganjar menyebututangyang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintah pihaknya sudah menghitung jumlah kredit macet di sektor perikanan indonesia ganjar mengatakan jumlah kredit macet tidaklah banyak sekitar rp miliar ganjarmahfud,"The presence of presidential candidate number three in the election, Ganjar Pranowo, in Karanganyar Village, Rembang Regency, made local fishermen happy. They were happy when they found out that Ganjar Pranowo was bringing a flagship program in the form of eliminating bad debts or debts for fishermen. Ganjar said that the debts owned by fishermen were not large and could be paid off by the government. His party had calculated the amount of bad debts in the Indonesian fisheries sector. Ganjar said that the amount of bad debts was not much, around Rp. 1 billion. Ganjar Mahfud"
TXT0026,rt abah online meroket figur pak anies semakin populer di kalangan anak anak milenial dan anakanak genz gagasan dan gaya komunikasi pak anies tentu berhasil memikat anak anak muda terutama anak anak genz dan ini memberi warna baru dalam kancah berpoltikan re yurissasamosir,rt abah online meroket figur pak anies semakin populer di kalangan anak anak milenial dan anakanak genz gagasan dan gaya komunikasi pak anies tentu berhasil memikat anak anak muda terutama anak anak genz dan ini memberi warna baru dalam kancah berpoltikan re yurissasamosir,"RT Abah Online skyrocketing figure of Mr. Anies is increasingly popular among millennials and genz children. Mr. Anies' ideas and communication style have certainly succeeded in captivating young people, especially genz children, and this has given a new color to the political scene. Re Yurissasamosir"
TXT0027,habis debat soal pesawat bekas prabowo teken kontrak msn,habis debat soal pesawat bekas prabowo teken kontrak msn,"After the debate about the used plane, Prabowo signs the MSN contract"
TXT0028,ganjar pranowo dan mahfud md pembela kesejahteraan rakyat ganjar mahfud hebat memimpin indonesia,ganjar pranowo dan mahfud md pembela kesejahteraan rakyat ganjar mahfud hebat memimpin indonesia,ganjar pranowo and mahfud md defender of people's welfare ganjar mahfud is great at leading indonesia
TXT0029,ganjar pranowo itu bukan cuma pemimpin yang mikirin kepentingan diri sendiri tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat,ganjar pranowo itu bukan cuma pemimpin yang memikirkan kepentingan diri sendiri tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat,Ganjar Pranowo is not only a leader who thinks about his own interests but also the interests of the people and freedom of speech in society.
TXT0030,harus nya seperti ini duduk bersila diacara untuk menjawab dan mengklarifikasi atau mengclearkan tuduhan atau isu penculikan dan pelanggaran ham yang dialamatkan kedia agar tidak ada lagi asumsi isu pelanggaran ham dan penculikan hanya muncul saat pilpres re catatanali,harus nya seperti ini duduk bersila diacara untuk menjawab dan mengklarifikasi atau mengclearkan tuduhan atau isu penculikan dan pelanggaran ham yang dialamatkan kedia agar tidak ada lagi asumsi isu pelanggaran ham dan penculikan hanya muncul saat pilpres re catatanali,"It should be like this, sitting cross-legged at the event to answer and clarify or clear the accusations or issues of kidnapping and human rights violations addressed to them so that there is no longer the assumption that the issues of human rights violations and kidnapping only arise during the presidential election."
TXT0031,weeleh isue tahunan yg trus dimunculkan cyber hti dkk era orba militer adlah alat yg dikedepankn demi stabilitas politik dri pemerintah yg otoriter adalah sngt tdk logis jika krusuhan yg bgitu masif hanya prabowo yg brtanggung jawab makanya tdk pernah ada pengadilannya,weeleh isue tahunan yang terus dimunculkan cyber hti dkk era orba militer adlah alat yang dikedepankn demi stabilitas politik dari pemerintah yang otoriter adalah sangat tidak logis jika krusuhan yang begitu masif hanya prabowo yang brtanggung jawab makanya tidak pernah ada pengadilannya,"Wow, the annual issue that continues to be raised by cyber HTI et al. in the New Order era, the military is a tool that is put forward for the sake of political stability of an authoritarian government. It is very illogical if only Prabowo is responsible for such massive unrest, that's why there has never been a trial."
TXT0032,padahal tnp usung anies di dki jadi partai gurem emang ada curut geri dra yg layak jadi gubernur re restyjcayah,padahal tanpa usung anies di dki jadi partai gurem memang ada curut geri dra yang layak jadi gubernur re restyjcayah,"even though without Anies in DKI becoming a small party, there is indeed a geri dra who is worthy of being governor of restyjcayah"
TXT0033,byangin aja orang lebih marah anies gagal mencapai target dp dibanding jokowi gagal menepati janji tidak impor dan memperkuat kpk belum bahas janji yang lain ya gw hingga saat ini masih ga pernah dapet jwbn dari haters anies kenapa mereka tidak se kritia itu thdp janji owi,membayangkan saja orang lebih marah anies gagal mencapai target dp dibanding jokowi gagal menepati janji tidak impor dan memperkuat kpk belum bahas janji yang lain ya gue hingga saat ini masih enggak pernah dapat jwbn dari haters anies kenapa mereka tidak se kritia itu terhadap janji owi,"Just imagine, people are angrier that Anies failed to reach the DP target than Jokowi failed to keep his promise not to import and strengthen the KPK. We haven't discussed the other promises yet. Until now, I've never gotten an answer from Anies haters about why they weren't as critical of Jokowi's promise."
TXT0034,yang bubarin fpi kan pemerintah pusat bukan anies gak kebayang kayak apa jakarta dengan anies sebagai gubernur kalau fpi belum dibubarkan dukung sih silakan aja tapi jangan denial kalau anies mendapatkan keuntungan dari ormas diskriminatif anies bukan manusia sempurna re redhatjkt,yang bubarin fpi kan pemerintah pusat bukan anies enggak terbayang kayak apa jakarta dengan anies sebagai gubernur kalau fpi belum dibubarkan dukung sih silakan saja tapi jangan denial kalau anies mendapatkan keuntungan dari ormas diskriminatif anies bukan manusia sempurna re redhatjkt,"The one who disbanded the FPI was the central government, not Anies. I can't imagine what Jakarta would be like with Anies as governor if the FPI hadn't been disbanded. Please support me, but don't deny that Anies benefits from discriminatory mass organizations. Anies is not a perfect human being. re redhatjkt"
TXT0035,ibaratkan cak imin belimbing matang di pohon anies sindir gibran re oposisicerdas,ibaratkan cak imin belimbing matang di pohon anies sindir gibran re oposisicerdas,"Cak Imin is like a ripe starfruit on a tree, Anies criticizes Gibran, the intelligent opposition"
TXT0036,prabowo menilai korupsi merusak kehidupan bangsa membahayakan keselamatan negara salah satu yang ia tawarkan adalah menaikkan gaji para pejabat re nuonline,prabowo menilai korupsi merusak kehidupan bangsa membahayakan keselamatan negara salah satu yang ia tawarkan adalah menaikkan gaji para pejabat re nuonline,Prabowo believes that corruption is destroying the life of the nation and endangering the safety of the country. One of the things he offers is to increase the salaries of officials re nuonline
TXT0037,pilihlah yang jauh dari radikalisme dan dekat dengan solusi pilih ganjar pranowo,pilihlah yang jauh dari radikalisme dan dekat dengan solusi pilih ganjar pranowo,"choose one who is far from radicalism and close to the solution, choose Ganjar Pranowo"
TXT0038,yg sepakat untuk asal bukan prabowo silahkan retweet kita kabar kan seluruh nusantara bahwa indonesia tdk butuh capres penculik pelangar ham berat cawapres perusak demokrasi dan konstitusi cukup re eddywidodo,yang sepakat untuk asal bukan prabowo silakan retweet kita kabar kan seluruh nusantara bahwa indonesia tidak butuh capres penculik pelangar ham berat cawapres perusak demokrasi dan konstitusi cukup re eddywidodo,"Those who agree, as long as it's not Prabowo, please retweet us and spread the news throughout the archipelago that Indonesia doesn't need a presidential candidate who kidnaps serious human rights violators, a vice presidential candidate who destroys democracy and the constitution, just Re Eddy Widodo"
TXT0039,mantap korupsi akan dibabat sama pak anies,mantap korupsi akan dibabat sama pak anies,"great, corruption will be eradicated by Mr. Anies"
TXT0040,etika dan kepemimpinan itu di mulai dari lingkungan keluarga wowo menyindir pak anies dan pak anies tetap senyum dan tidak baper giliran balik di sindir oleh pak anies kata pendukung wowo debat malah nyerang personal memang lucu lihat kelakuan pendukung wowo re yurissasamosir,etika dan kepemimpinan itu di mulai dari lingkungan keluarga wowo menyindir pak anies dan pak anies tetap senyum dan tidak bawa perasaan giliran balik di sindir oleh pak anies kata pendukung wowo debat malah menyerang personal memang lucu lihat kelakuan pendukung wowo re yurissasamosir,ethics and leadership start from the family environment wowo mocked pak anies and pak anies kept smiling and didn't take it personally when it was his turn to be mocked by pak anies wowo's supporters said the debate ended in personal attacks it was funny to see the behavior of wowo's supporters re yurissasamosir
TXT0041,ini gambaran kalo kita kritik pemerintah nanti kritik pak prabowo sebagai menhan aja disebut kritik personal di replyannya re hwztmf,ini gambaran kalo kita kritik pemerintah nanti kritik pak prabowo sebagai menhan saja disebut kritik personal di replyannya re hwztmf,"This is an illustration if we criticize the government, later criticizing Mr. Prabowo as the Minister of Defense will be called personal criticism in his reply re hwztmf"
TXT0042,goganjargo ganjar optimis capai pertumbuhan ekonomi sahabatganjar ganjar menangkanganjar generasigotongroyong ganjar mahfud hebat perempuan maju,goganjargo ganjar optimis capai pertumbuhan ekonomi sahabatganjar ganjar menangkanganjar generasigotongroyong ganjar mahfud hebat perempuan maju,goganjargo ganjar optimistic to achieve economic growth friendsganjar ganjar winsganjar generationgotong royong ganjar mahfud great women progress
TXT0043,ganjar pranowo yang sebelumnya pernah menjabat sebagai anggota dpr dan diusung oleh pdi perjuangan menunjukkan komitmen dan semangat tinggi dalam melayani masyarakat meskipun telah memiliki pengalaman legislatif ia terus berupaya untuk langsung berinteraksi dengan masyarakat meskipun menghadapi tantangan berat ganjar tetap gigih dan berkomitmen untuk memberikan kontribusi positif re pdiperjuangan,ganjar pranowo yang sebelumnya pernah menjabat sebagai anggota dpr dan diusung oleh pdi perjuangan menunjukkan komitmen dan semangat tinggi dalam melayani masyarakat meskipun telah memiliki pengalaman legislatif ia terus berupaya untuk langsung berinteraksi dengan masyarakat meskipun menghadapi tantangan berat ganjar tetap gigih dan berkomitmen untuk memberikan kontribusi positif re pdiperjuangan,"Ganjar Pranowo, who previously served as a member of the DPR and was nominated by the PDI Perjuangan, demonstrated a high level of commitment and enthusiasm in serving the community. Even though he had legislative experience, he continued to try to interact directly with the community. Even though he faced tough challenges, Ganjar remained persistent and committed to making a positive contribution to the PDI Perjuangan party."
TXT0044,kawasan ekonomi khusus bakal jadi peluang besar buat investasi dukung ganjarmahfud happy new year,kawasan ekonomi khusus bakal jadi peluang besar buat investasi dukung ganjarmahfud happy new year,Special economic zones will be a great opportunity for investment support ganjarmahfud happy new year
TXT0045,keterbukaan dalam kebijakan pemerintahan adalah hak warga prabowo gibran mempromosikan transparansi ini,keterbukaan dalam kebijakan pemerintahan adalah hak warga prabowo gibran mempromosikan transparansi ini,Transparency in government policy is a citizen's right Prabowo Gibran promotes this transparency
TXT0046,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa,presidential and vice presidential candidate pair Ganjar Pranowo and Mahfud MD's program is a smart solution to encourage village economic growth
TXT0047,inisiatif ganjarmahfud memberikan harapan baru untuk pertumbuhan ekonomi yang berkeadilan memberdayakan umkm sebagai tulang punggung ekonomi kerakyatan happy new year,inisiatif ganjarmahfud memberikan harapan baru untuk pertumbuhan ekonomi yang berkeadilan memberdayakan umkm sebagai tulang punggung ekonomi kerakyatan happy new year,"ganjarmahfud's initiative provides new hope for equitable economic growth, empowering UMKM as the backbone of the people's economy, happy new year"
TXT0048,ini adalah saat yang tepat untuk berinvestasi dalam masa depan indonesia bersama ganjarmahfud happy new year,ini adalah saat yang tepat untuk berinvestasi dalam masa depan indonesia bersama ganjarmahfud happy new year,This is the right time to invest in the future of Indonesia with Ganjarmahfud Happy New Year
TXT0049,ganjar mahfud hebat betul pak bersihkan indonesia dari korupsi dengan pak ganjar dan mahfud semoga indonesia lebih maju lagi ganjar mahfud hebat,ganjar mahfud hebat betul pak bersihkan indonesia dari korupsi dengan pak ganjar dan mahfud semoga indonesia lebih maju lagi ganjar mahfud hebat,"Ganjar Mahfud is really great, sir, clean Indonesia from corruption with Pak Ganjar and Mahfud, hopefully Indonesia will be more advanced. Ganjar Mahfud is great."
TXT0050,masyarakat jakarta berharap pak ganjar pranowo dan mahfud md terus bersatu untuk membawa kemajuan dan kesejahteraan ganjar mahfud hebat sikat kkn,masyarakat jakarta berharap pak ganjar pranowo dan mahfud md terus bersatu untuk membawa kemajuan dan kesejahteraan ganjar mahfud hebat sikat kkn,"Jakarta society hopes that Mr Ganjar Pranowo and Mahfud MD will continue to unite to bring progress and prosperity. Ganjar Mahfud is great at eliminating corruption, collusion and nepotism."
TXT0051,ainunnajib lebih tegang kali lg nembak pemerintah jokowi mulu ganjar malah kg mode cari aman mahfud hebat happy new year,ainunnajib lebih tegang kali lagi menembak pemerintah jokowi mulu ganjar malah kg mode cari aman mahfud hebat happy new year,"Ainunnajib is more tense, this time shooting the Jokowi government, always punishing them, but they are not in safe mode, Mahfud is great, happy new year"
TXT0052,partisipasi aktif warga negara adalah tonggak demokrasi yang sehat prabowo gibran mendorong keterlibatan semua,partisipasi aktif warga negara adalah tonggak demokrasi yang sehat prabowo gibran mendorong keterlibatan semua,active citizen participation is the cornerstone of a healthy democracy prabowo gibran encourages the involvement of all
TXT0053,pak setahu saya tidak pernah menyatakan dukungan kpd aniez ataupun ganjar tapi dia pernah mengatakan drpd negeri ini diserahkan kpd mantan penjahat ham amp demokrasi anies amp ganjar adalah opsi terbaik yg bisa dipilih rakyat mohon koreksi jika salah re abuwaras,pak setahu saya tidak pernah menyatakan dukungan kepada aniez ataupun ganjar tapi dia pernah mengatakan daripada negeri ini diserahkan kepada mantan penjahat ham amp demokrasi anies amp ganjar adalah opsi terbaik yang bisa dipilih rakyat mohon koreksi jika salah re abuwaras,"Sir, as far as I know, he has never expressed support for Anies or Ganjar, but he once said that rather than handing this country over to former human rights criminals, democracy for Anies and Ganjar is the best option that the people can choose. Please correct me if I'm wrong, Re Abuwaras."
TXT0054,algoritma instagram dorong popularitas kampanye anies konten reels tembus jutaan dalam sehari re oposisicerdas,algoritma instagram dorong popularitas kampanye anies konten reels tembus jutaan dalam sehari re oposisicerdas,"Instagram algorithm boosts popularity of Anies campaign, reels content reaches millions in a day re oppositionintelligent"
